Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
107207;Gautier XO;Gautier;0,7 l;114.99;164.27;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Mahonginruskea, iäkäs, täyteläinen, terävä, kypsän aprikoosinen, suklainen, yrttinen, tamminen, vivahteikas;pullo;luonnonkorkki;40.0;;12;;;;230.0;vakiovalikoima;3,26956E+12
831;Grönstedts VS;Galatea AB;0,7 l;35.48;50.54;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkanruskea, kevyt, nuorehko, lämmin, kevyen aprikoosinen, mausteinen;pullo;luonnonkorkki;40.0;;4;;;;230.0;vakiovalikoima;7,33076E+12
123927;H by Hine VSOP;Hine Cognac;0,7 l;54.48;77.69;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Kuparinruskea, keskitäyteläinen, melko iäkäs, lämmin, aprikoosinen, hennon sitruksinen, kukkainen, kevyen vaniljainen, mausteinen, vivahteikas;pullo;luonnonkorkki;40.0;;8;;;;230.0;vakiovalikoima;3,76011E+12
954416;Hanko 5 Star Cognac Braastad;Tiffon;0,7 l;56.98;81.4;;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;;;;Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, hedelmäinen, mausteinen, tamminen;pullo;luonnonkorkki;40.0;;9;;;;230.0;tilausvalikoima;3,36405E+12
919107;Hardy Fine Champagne VSOP;Hardy Cognac;0,7 l;47.50;67.86;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Kullanruskea, keskitäyteläinen, nuorehko, pehmeä, pähkinäinen, mausteinen, hedelmäinen;pullo;luonnonkorkki;40.0;;11;;;;230.0;tilausvalikoima;3,10405E+12
951947;Hardy Fine Champagne XO;Hardy Cognac;0,7 l;68.49;97.84;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Meripihkanruskea, täyteläinen, melko iäkäs, pehmeä, taatelinen, sikarilaatikkoinen, kukkainen;pullo;luonnonkorkki;40.0;;5;;;;230.0;tilausvalikoima;3,10405E+12
919057;Hardy Fine VS;Hardy Cognac;0,7 l;42.99;61.41;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac Fine Champagne;;;Kullanruskea, keskitäyteläinen, nuorehko, pehmeä, kukkainen;pullo;luonnonkorkki;40.0;;6;;;;230.0;tilausvalikoima;3,10405E+12
955058;Hardy L'Automne Lalique;Hardy Cognac;0,7 l;10000.00;14285.71;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkanruskea, täyteläinen, iäkäs, pehmeä, aprikoosinen, rusinainen;pullo;luonnonkorkki;41.0;;5;;;;230.0;tilausvalikoima;3,10405E+12
929187;Hardy Legend 1863;Hardy Cognac;0,7 l;57.90;82.71;;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Ruskea, keskitäyteläinen, melko iäkäs, lämmin, sitruksinen, vaniljainen, pomeranssinen;pullo;luonnonkorkki;40.0;;5;;;;230.0;tilausvalikoima;3,10405E+12
926251;Hardy Legend 1863;Hardy Cognac;0,05 l;May.48;109.6;;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;AOP Cognac;;;Ruskea, keskitäyteläinen, melko iäkäs, lämmin, kuivahedelmäinen, kermatoffeinen, hennon hunajainen, mokkainen;pullo;metallinen kierrekapseli;40.0;;13;;;;230.0;vakiovalikoima;3,10405E+12
